"","title","url","imdbRating","ratingCount","duration","year","type","nrOfWins","nrOfNominations","nrOfPhotos","nrOfNewsArticles","nrOfUserReviews","nrOfGenre","Action","Adult","Adventure","Animation","Biography","Comedy","Crime","Documentary","Drama","Family","Fantasy","FilmNoir","GameShow","History","Horror","Music","Musical","Mystery","News","RealityTV","Romance","SciFi","Short","Sport","TalkShow","Thriller","War","Western","Recommendation"
"167","Der Herr der Ringe - Die Gefährten","http://www.imdb.com/title/tt0120737/",8.9,"871819","10680",2001,"video.movie","82","90","220","801",4928,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Excellent"
"172","Der Herr der Ringe - Die Rückkehr des Königs","http://www.imdb.com/title/tt0167260/",8.9,"845383","12060",2003,"video.movie","122","74","230","1294",3049,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Excellent"
"173","Der Herr der Ringe - Die zwei Türme","http://www.imdb.com/title/tt0167261/",8.8,"760587","10740",2002,"video.movie","76","83","164","527",2381,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Excellent"
"175","Lagaan: Once Upon a Time in India","http://www.imdb.com/title/tt0169102/",8.3,"33481","13440",2001,"video.movie","44","19","19","9",228,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Excellent"
"179","Die Monster AG","http://www.imdb.com/title/tt0198781/",8.1,"374409","5520",2001,"video.movie","14","31","154","104",546,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Excellent"
"182","Die fabelhafte Welt der Amelie","http://www.imdb.com/title/tt0211915/",8.5,"380600","7320",2001,"video.movie","54","50","57","359",1255,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Excellent"
"183","Chihiros Reise ins Zauberland","http://www.imdb.com/title/tt0245429/",8.6,"273502","7500",2001,"video.movie","35","19","33","621",788,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Excellent"
"185","Donnie Darko","http://www.imdb.com/title/tt0246578/",8.1,"430315","6780",2001,"video.movie","11","12","58","1329",2031,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"Excellent"
"186","Der Pianist","http://www.imdb.com/title/tt0253474/",8.5,"331248","9000",2002,"video.movie","49","47","74","700",718,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Excellent"
"187","Findet Nemo","http://www.imdb.com/title/tt0266543/",8.2,"451631","6000",2003,"video.movie","37","37","92","2563",804,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Excellent"
